timestamp,symbol,longAccount,longShortRatio,shortAccount
2024-10-02 04:00:00,ETHUSDT,0.7291,2.6914,0.2709
2024-10-02 08:00:00,ETHUSDT,0.7243,2.6271,0.2757
2024-10-02 12:00:00,ETHUSDT,0.7211,2.5855,0.2789
2024-10-02 16:00:00,ETHUSDT,0.7285,2.6832,0.2715
2024-10-02 20:00:00,ETHUSDT,0.7417,2.8715,0.2583
2024-10-03 00:00:00,ETHUSDT,0.7517,3.0274,0.2483
2024-10-03 04:00:00,ETHUSDT,0.7548,3.0783,0.2452
2024-10-03 08:00:00,ETHUSDT,0.7485,2.9761,0.2515
2024-10-03 12:00:00,ETHUSDT,0.7431,2.8926,0.2569
2024-10-03 16:00:00,ETHUSDT,0.7501,3.0016,0.2499
2024-10-03 20:00:00,ETHUSDT,0.7483,2.973,0.2517
2024-10-04 00:00:00,ETHUSDT,0.7498,2.9968,0.2502
2024-10-04 04:00:00,ETHUSDT,0.7423,2.8805,0.2577
2024-10-04 08:00:00,ETHUSDT,0.7425,2.8835,0.2575
2024-10-04 12:00:00,ETHUSDT,0.743,2.8911,0.257
2024-10-04 16:00:00,ETHUSDT,0.7365,2.7951,0.2635
2024-10-04 20:00:00,ETHUSDT,0.7247,2.6324,0.2753
2024-10-05 00:00:00,ETHUSDT,0.7247,2.6324,0.2753
2024-10-05 04:00:00,ETHUSDT,0.7308,2.7147,0.2692
2024-10-05 08:00:00,ETHUSDT,0.7303,2.7078,0.2697
2024-10-05 12:00:00,ETHUSDT,0.7245,2.6298,0.2755
2024-10-05 16:00:00,ETHUSDT,0.7224,2.6023,0.2776
2024-10-05 20:00:00,ETHUSDT,0.7246,2.6311,0.2754
2024-10-06 00:00:00,ETHUSDT,0.7278,2.6738,0.2722
2024-10-06 04:00:00,ETHUSDT,0.7207,2.5804,0.2793
2024-10-06 08:00:00,ETHUSDT,0.7196,2.5663,0.2804
2024-10-06 12:00:00,ETHUSDT,0.7178,2.5436,0.2822
2024-10-06 16:00:00,ETHUSDT,0.7163,2.5249,0.2837
2024-10-06 20:00:00,ETHUSDT,0.7174,2.5386,0.2826
2024-10-07 00:00:00,ETHUSDT,0.7202,2.574,0.2798
2024-10-07 04:00:00,ETHUSDT,0.6948,2.2765,0.3052
2024-10-07 08:00:00,ETHUSDT,0.7002,2.3356,0.2998
